OLMTA_V1_CONFIG {"seed": 17, "budget": 50000, "init": 96, "batch": 16, "pool": 60000, "ensemble": 3, "opt_gpu": 0, "eval_gpus": [0, 1], "eval_workers_per_gpu": 4, "initial_network": "immutable original OPTv1"}
/var/lib/cots-lamcts/jobs/olmta-v1-meta50k-run002b-20260915/src/validation/opt10_pretrain_completion_run.py:42: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.enc=nn.TransformerEncoder(el,layers,norm=nn.LayerNorm(d));self.recon=nn.Linear(d,B.FIELDS)
Q round80-s17 4 (8, 21, 4, 24) 27.522242085572685 gpu 1
Q round80-s17 5 (24, 21, 28, 39) 21.93532891790887 gpu 0
Q round80-s17 6 (24, 21, 4, 25) 27.066545260332518 gpu 1
Q round80-s17 7 (48, 5, 4, 38) 21.07812074964162 gpu 0
Q round80-s17 8 (24, 45, 44, 48) 22.710262680702908 gpu 1
Q round80-s17 9 (24, 45, 4, 25) 24.240629551131743 gpu 0
Q round80-s17 10 (24, 21, 44, 24) 23.62200884833272 gpu 1
Q round80-s17 11 (24, 5, 44, 9) 30.866910098510374 gpu 0
Q round80-s17 12 (24, 45, 28, 39) 23.86035024205437 gpu 1
Q round80-s17 13 (8, 45, 4, 24) 23.775962260644093 gpu 0
Q round80-s17 14 (24, 17, 8, 40) 99.0673030677669 gpu 1
Q round80-s17 15 (51, 54, 51, 34) 89.60056158314414 gpu 0
ROUND 80 n 1376 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 2 update 0 updates_total 6
Q round81-s17 0 (24, 5, 20, 9) 33.48907751104252 gpu 1
Q round81-s17 1 (24, 21, 4, 49) 24.50793123649673 gpu 0
Q round81-s17 2 (63, 5, 20, 38) 23.64030782717873 gpu 1
Q round81-s17 3 (24, 45, 4, 49) 22.71376456558729 gpu 0
Q round81-s17 4 (8, 5, 44, 65) 28.76869654633014 gpu 1
Q round81-s17 5 (39, 5, 4, 9) 31.8442649309215 gpu 0
Q round81-s17 6 (64, 5, 4, 39) 24.964072750928235 gpu 1
Q round81-s17 7 (24, 5, 4, 70) 21.41036726850927 gpu 0
Q round81-s17 8 (63, 5, 44, 38) 22.375809618217332 gpu 1
Q round81-s17 9 (8, 21, 4, 48) 24.29259433706138 gpu 0
Q round81-s17 10 (24, 21, 20, 49) 24.10390767374762 gpu 1
Q round81-s17 11 (8, 5, 4, 49) 26.160674125810008 gpu 0
Q round81-s17 12 (24, 21, 20, 25) 27.013509920175945 gpu 1
Q round81-s17 13 (39, 5, 20, 62) 23.244832330847196 gpu 0
Q round81-s17 14 (6, 69, 4, 39) 58.5145964809601 gpu 1
Q round81-s17 15 (29, 40, 19, 14) 43.69466320212644 gpu 0
ROUND 81 n 1392 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 12 update 0 updates_total 6
Q round82-s17 0 (24, 45, 20, 49) 23.478335530410394 gpu 1
Q round82-s17 1 (64, 5, 4, 25) 29.189463806463223 gpu 0
Q round82-s17 2 (64, 21, 4, 38) 26.62048006878427 gpu 1
Q round82-s17 3 (39, 5, 44, 62) 22.726951330411264 gpu 0
Q round82-s17 4 (24, 45, 20, 25) 26.08651874368313 gpu 1
Q round82-s17 5 (24, 21, 44, 49) 23.764582916351415 gpu 0
Q round82-s17 6 (8, 45, 4, 48) 22.669821922555794 gpu 1
Q round82-s17 7 (64, 5, 4, 65) 30.385938736599883 gpu 0
Q round82-s17 8 (48, 5, 4, 62) 20.346513976360157 gpu 1
Q round82-s17 9 (63, 5, 4, 9) 30.359872635355114 gpu 0
Q round82-s17 10 (39, 5, 4, 25) 27.33718946661721 gpu 1
Q round82-s17 11 (24, 5, 12, 65) 24.72000890518144 gpu 0
Q round82-s17 12 (24, 5, 20, 70) 21.592260204784694 gpu 1
Q round82-s17 13 (24, 45, 44, 49) 21.91079312501496 gpu 0
Q round82-s17 14 (46, 43, 27, 42) 112.24428490122615 gpu 1
Q round82-s17 15 (41, 43, 60, 10) 117.28217808394324 gpu 0
ROUND 82 n 1408 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 11 update 0 updates_total 6
Q round83-s17 0 (24, 5, 4, 8) 25.454146742528895 gpu 1
Q round83-s17 1 (8, 5, 20, 65) 30.841077176219308 gpu 0
Q round83-s17 2 (8, 5, 4, 25) 30.107452156887536 gpu 1
Q round83-s17 3 (8, 5, 4, 8) 27.603210703218284 gpu 0
Q round83-s17 4 (64, 45, 4, 38) 24.34696653905525 gpu 1
Q round83-s17 5 (24, 21, 44, 25) 25.27362028744365 gpu 0
Q round83-s17 6 (8, 5, 4, 9) 35.377796428890335 gpu 1
Q round83-s17 7 (64, 5, 20, 65) 31.404981541376642 gpu 0
Q round83-s17 8 (24, 45, 44, 25) 23.791591239163083 gpu 1
Q round83-s17 9 (24, 21, 28, 63) 21.518933984213955 gpu 0
Q round83-s17 10 (24, 5, 44, 70) 23.713204865921433 gpu 1
Q round83-s17 11 (39, 5, 44, 25) 25.349765436818593 gpu 0
Q round83-s17 12 (8, 5, 20, 49) 27.013779024317667 gpu 1
Q round83-s17 13 (24, 21, 4, 9) 33.088830652632126 gpu 0
Q round83-s17 14 (11, 34, 19, 31) 603.7514361296214 gpu 1
Q round83-s17 15 (43, 55, 19, 70) 49.23480702700083 gpu 0
ROUND 83 n 1424 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 1 update 0 updates_total 6
Q round84-s17 0 (39, 5, 20, 25) 26.818324808448654 gpu 1
Q round84-s17 1 (64, 5, 44, 65) 28.62231313224202 gpu 0
Q round84-s17 2 (24, 45, 28, 63) 24.65532400499804 gpu 1
Q round84-s17 3 (39, 5, 44, 65) 26.606467522446614 gpu 0
Q round84-s17 4 (24, 45, 4, 9) 29.671009702346883 gpu 1
Q round84-s17 5 (63, 5, 20, 62) 22.460187141188996 gpu 0
Q round84-s17 6 (64, 5, 20, 25) 30.639676762524516 gpu 1
Q round84-s17 7 (8, 5, 44, 49) 25.065059076043873 gpu 0
Q round84-s17 8 (63, 5, 44, 62) 22.683741866838872 gpu 1
Q round84-s17 9 (8, 45, 20, 48) 21.93489025822608 gpu 0
Q round84-s17 10 (39, 5, 4, 65) 28.461218500566737 gpu 1
Q round84-s17 11 (48, 5, 4, 25) 25.30261179812312 gpu 0
Q round84-s17 12 (64, 5, 44, 25) 27.472098582905524 gpu 1
Q round84-s17 13 (64, 21, 4, 62) 24.76078181536554 gpu 0
Q round84-s17 14 (15, 16, 52, 25) 121.23806465250324 gpu 1
Q round84-s17 15 (29, 48, 18, 13) 510.2654955212645 gpu 0
TRIGGER_UPDATE 84 1440 ['ranking_degradation'] {"new_labels_since_update": 224, "evals_since_best": 548, "recent_n": 128, "recent_spearman": 0.24997711041933712, "recent_high_uncertainty_fraction": 0.0625, "sigma_ref_p90": 0.08044411614537239, "eligible_pool": 0, "eligible_floor": 120}
ROUND 84 n 1440 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 0 update 1 updates_total 7
Q round85-s17 0 (24, 45, 68, 39) 24.69622378461845 gpu 1
Q round85-s17 1 (64, 21, 20, 39) 25.475531224292997 gpu 0
Q round85-s17 2 (64, 45, 20, 39) 23.38744492462529 gpu 1
Q round85-s17 3 (64, 21, 44, 39) 23.899066641397738 gpu 0
Q round85-s17 4 (64, 45, 44, 39) 22.108497758761565 gpu 1
Q round85-s17 5 (24, 21, 68, 63) 22.64413405646754 gpu 0
Q round85-s17 6 (24, 45, 28, 64) 23.146371055045286 gpu 1
Q round85-s17 7 (24, 45, 68, 63) 24.657924151726817 gpu 0
Q round85-s17 8 (24, 45, 52, 64) 24.227222532371854 gpu 1
Q round85-s17 9 (24, 21, 12, 64) 21.778784052286145 gpu 0
Q round85-s17 10 (64, 5, 44, 63) 22.951442183186373 gpu 1
Q round85-s17 11 (24, 45, 12, 64) 21.54976779929407 gpu 0
Q round85-s17 12 (64, 21, 20, 63) 24.765445035670783 gpu 1
Q round85-s17 13 (64, 45, 20, 63) 21.942262145639027 gpu 0
Q round85-s17 14 (0, 28, 58, 10) 468.489171266548 gpu 1
Q round85-s17 15 (47, 66, 7, 0) 83.5752456886721 gpu 0
ROUND 85 n 1456 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 3 update 0 updates_total 7
Q round86-s17 0 (64, 21, 44, 63) 23.80678170974375 gpu 1
Q round86-s17 1 (39, 45, 20, 39) 20.463650079417626 gpu cache
Q round86-s17 2 (39, 21, 44, 39) 22.5262628502243 gpu 0
Q round86-s17 3 (64, 21, 20, 64) 27.79021905829881 gpu 1
Q round86-s17 4 (39, 45, 44, 39) 20.437701387135192 gpu cache
Q round86-s17 5 (64, 45, 44, 63) 21.499662381344862 gpu 0
Q round86-s17 6 (24, 21, 68, 64) 20.934999641842545 gpu 1
Q round86-s17 7 (64, 45, 20, 64) 25.057925725887117 gpu 0
Q round86-s17 8 (64, 21, 44, 64) 27.08923344329202 gpu 1
Q round86-s17 9 (39, 21, 44, 38) 23.099044511777468 gpu 0
Q round86-s17 10 (39, 45, 20, 38) 22.496012529714694 gpu 1
Q round86-s17 11 (63, 5, 20, 39) 22.05808823020563 gpu 0
Q round86-s17 12 (39, 45, 44, 38) 22.501773847203193 gpu 1
Q round86-s17 13 (64, 45, 44, 64) 23.47158051756859 gpu 0
Q round86-s17 14 (51, 38, 24, 15) 59.34456707632448 gpu 1
Q round86-s17 15 (54, 7, 71, 49) 122.10822957950938 gpu 0
ROUND 86 n 1472 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 0 update 0 updates_total 7
Q round87-s17 0 (39, 21, 20, 38) 24.286795495015454 gpu 1
Q round87-s17 1 (63, 5, 44, 39) 21.164660457402867 gpu cache
Q round87-s17 2 (24, 5, 52, 24) 22.46787912671362 gpu 0
Q round87-s17 3 (63, 21, 20, 38) 22.989639111858626 gpu 1
Q round87-s17 4 (63, 21, 20, 39) 23.085348794345627 gpu cache
Q round87-s17 5 (63, 21, 44, 38) 22.571377989897147 gpu 0
Q round87-s17 6 (63, 45, 20, 38) 22.03274121702295 gpu 1
Q round87-s17 7 (64, 45, 44, 62) 22.192446133649042 gpu 0
Q round87-s17 8 (39, 5, 4, 39) 21.879611115548382 gpu 1
Q round87-s17 9 (63, 45, 20, 39) 19.38133224919029 gpu cache
Q round87-s17 10 (39, 21, 28, 38) 22.823349914552782 gpu 0
Q round87-s17 11 (63, 21, 44, 39) 21.355706562752825 gpu cache
Q round87-s17 12 (64, 45, 4, 64) 24.97597614521607 gpu 1
Q round87-s17 13 (39, 21, 20, 63) 24.219447412088524 gpu cache
Q round87-s17 14 (71, 28, 0, 24) 74.98007093365989 gpu 0
Q round87-s17 15 (30, 46, 25, 17) 99.76362945771693 gpu 1
ROUND 87 n 1488 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 0 update 0 updates_total 7
Q round88-s17 0 (48, 21, 20, 39) 19.281225322358804 gpu 0
Q round88-s17 1 (24, 5, 12, 24) 22.727303160345134 gpu 1
Q round88-s17 2 (63, 45, 44, 39) 19.944025790320737 gpu cache
Q round88-s17 3 (39, 5, 12, 39) 20.994762094001697 gpu 0
Q round88-s17 4 (39, 21, 4, 39) 22.73238560875875 gpu 1
Q round88-s17 5 (39, 45, 28, 38) 20.87997598226883 gpu 0
Q round88-s17 6 (39, 45, 20, 63) 20.707273639193264 gpu cache
Q round88-s17 7 (39, 5, 28, 62) 21.498524727117715 gpu 1
Q round88-s17 8 (39, 21, 44, 63) 22.55258651080287 gpu cache
Q round88-s17 9 (39, 21, 12, 62) 21.91768651513508 gpu 0
Q round88-s17 10 (39, 45, 4, 39) 20.645962296308475 gpu 1
Q round88-s17 11 (48, 45, 20, 39) 22.459028876194402 gpu 0
Q round88-s17 12 (63, 21, 20, 62) 23.210371888382515 gpu 1
Q round88-s17 13 (63, 21, 44, 62) 22.02542216234801 gpu 0
Q round88-s17 14 (68, 1, 50, 43) 200.16173945077566 gpu 1
Q round88-s17 15 (13, 31, 41, 36) 41.45235416565932 gpu 0
TRIGGER_UPDATE 88 1504 ['ranking_degradation'] {"new_labels_since_update": 64, "evals_since_best": 612, "recent_n": 64, "recent_spearman": 0.09253663003663003, "recent_high_uncertainty_fraction": 0.03125, "sigma_ref_p90": 0.09248269051313403, "eligible_pool": 12, "eligible_floor": 120}
ROUND 88 n 1504 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 12 update 1 updates_total 8
Q round89-s17 0 (39, 21, 12, 39) 21.64479687617048 gpu 1
Q round89-s17 1 (39, 45, 12, 39) 20.499676019689534 gpu 0
Q round89-s17 2 (39, 45, 44, 63) 20.352385266486507 gpu cache
Q round89-s17 3 (39, 21, 28, 39) 19.90226132534999 gpu cache
Q round89-s17 4 (48, 21, 44, 39) 19.762413308135713 gpu 1
Q round89-s17 5 (63, 21, 20, 63) 21.204063646734145 gpu cache
Q round89-s17 6 (39, 45, 28, 39) 22.07379040434166 gpu 0
Q round89-s17 7 (48, 45, 44, 39) 22.813255652201278 gpu 1
Q round89-s17 8 (39, 5, 12, 63) 20.912499032020207 gpu cache
Q round89-s17 9 (63, 45, 20, 63) 19.4782282384002 gpu cache
Q round89-s17 10 (63, 21, 44, 63) 21.885557854235504 gpu cache
Q round89-s17 11 (63, 21, 12, 38) 22.6138704283978 gpu 0
Q round89-s17 12 (39, 45, 12, 62) 21.398970537600423 gpu 1
Q round89-s17 13 (39, 21, 28, 62) 22.043918837665906 gpu 0
Q round89-s17 14 (44, 40, 68, 47) 35.28242816335488 gpu cache
Q round89-s17 15 (69, 40, 30, 31) 75.79782403763775 gpu 1
ROUND 89 n 1520 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 0 update 0 updates_total 8
Q round90-s17 0 (64, 5, 68, 64) 22.88048978288032 gpu 0
Q round90-s17 1 (64, 21, 52, 64) 21.067861413724938 gpu 1
Q round90-s17 2 (64, 45, 52, 64) 19.366269116046425 gpu 0
Q round90-s17 3 (63, 5, 68, 64) 20.226316203457397 gpu 1
Q round90-s17 4 (63, 21, 28, 64) 19.854304422785432 gpu 0
Q round90-s17 5 (63, 21, 28, 63) 21.766516407130066 gpu 1
Q round90-s17 6 (64, 21, 68, 64) 23.47309849666037 gpu 0
Q round90-s17 7 (63, 45, 28, 64) 23.27738814177751 gpu 1
Q round90-s17 8 (63, 5, 52, 63) 23.28139462403048 gpu 0
Q round90-s17 9 (64, 21, 28, 63) 21.334376497365085 gpu 1
Q round90-s17 10 (64, 45, 68, 64) 19.842752857811323 gpu 0
Q round90-s17 11 (63, 45, 28, 63) 24.756415351328815 gpu cache
Q round90-s17 12 (63, 21, 52, 64) 21.17281340345434 gpu 1
Q round90-s17 13 (64, 45, 28, 63) 21.011468780728677 gpu 0
Q round90-s17 14 (32, 39, 59, 70) 45.52452788291852 gpu 1
Q round90-s17 15 (20, 49, 44, 44) 523.8035607243168 gpu 0
ROUND 90 n 1536 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 43 update 0 updates_total 8
Q round91-s17 0 (39, 21, 52, 39) 20.855924865409687 gpu cache
Q round91-s17 1 (63, 45, 44, 63) 20.934984259186333 gpu cache
Q round91-s17 2 (63, 45, 12, 38) 21.124003382375083 gpu 1
Q round91-s17 3 (63, 5, 28, 38) 21.76339484296417 gpu 0
Q round91-s17 4 (63, 21, 12, 39) 20.672257731763747 gpu cache
Q round91-s17 5 (39, 45, 28, 62) 21.907201687039986 gpu 1
Q round91-s17 6 (39, 45, 52, 39) 23.38449528546402 gpu 0
Q round91-s17 7 (63, 45, 28, 38) 23.912226348342955 gpu 1
Q round91-s17 8 (63, 5, 28, 39) 22.051461528495388 gpu 0
Q round91-s17 9 (63, 45, 12, 39) 22.427137668941963 gpu 1
Q round91-s17 10 (39, 21, 68, 39) 20.02785596812176 gpu 0
Q round91-s17 11 (63, 21, 12, 62) 21.38032508464545 gpu 1
Q round91-s17 12 (39, 45, 68, 39) 21.859712579785636 gpu 0
Q round91-s17 13 (39, 21, 12, 63) 21.366117941350833 gpu 1
Q round91-s17 14 (69, 48, 4, 36) 193.71319954913687 gpu 0
Q round91-s17 15 (55, 39, 62, 64) 106.4786777473945 gpu 1
ROUND 91 n 1552 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 0 update 0 updates_total 8
Q round92-s17 0 (39, 5, 28, 63) 20.646465063068085 gpu 0
Q round92-s17 1 (39, 45, 12, 63) 21.15479563560839 gpu 1
Q round92-s17 2 (63, 21, 4, 39) 22.33092864478006 gpu 0
Q round92-s17 3 (63, 45, 4, 39) 19.60936519704359 gpu 1
Q round92-s17 4 (63, 21, 28, 39) 20.51896275811027 gpu cache
Q round92-s17 5 (63, 21, 28, 62) 22.58547060068267 gpu 0
Q round92-s17 6 (48, 21, 4, 63) 19.529630930661117 gpu 1
Q round92-s17 7 (48, 21, 20, 63) 19.891673626763303 gpu 0
Q round92-s17 8 (64, 21, 28, 39) 22.1140395153733 gpu 1
Q round92-s17 9 (63, 5, 28, 62) 21.112842457919825 gpu 0
Q round92-s17 10 (48, 45, 4, 63) 22.21999447187364 gpu 1
Q round92-s17 11 (63, 45, 28, 62) 24.086980916886816 gpu 0
Q round92-s17 12 (48, 45, 20, 63) 21.736314761333396 gpu 1
Q round92-s17 13 (63, 45, 28, 39) 23.34363058128359 gpu cache
Q round92-s17 14 (2, 4, 9, 0) 57.62665813819512 gpu 0
Q round92-s17 15 (20, 23, 55, 44) 53.36459832654308 gpu 1
ROUND 92 n 1568 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 0 update 0 updates_total 8
Q round93-s17 0 (64, 21, 28, 64) 23.480952243977715 gpu 0
Q round93-s17 1 (64, 45, 28, 64) 19.862776940562675 gpu 1
Q round93-s17 2 (64, 21, 52, 39) 19.805700026430106 gpu 0
Q round93-s17 3 (63, 5, 28, 63) 22.393833728100592 gpu cache
Q round93-s17 4 (64, 45, 52, 39) 20.74689778762764 gpu 1
Q round93-s17 5 (63, 5, 52, 64) 22.31318940776381 gpu 0
Q round93-s17 6 (63, 45, 52, 64) 24.231963940220936 gpu 1
Q round93-s17 7 (48, 5, 12, 64) 21.35288578509002 gpu cache
Q round93-s17 8 (64, 5, 12, 24) 24.367741843415445 gpu 0
Q round93-s17 9 (63, 21, 52, 63) 22.96629599445043 gpu cache
Q round93-s17 10 (48, 21, 12, 64) 20.660095862064107 gpu 1
Q round93-s17 11 (48, 5, 28, 64) 22.206018196164692 gpu 0
Q round93-s17 12 (64, 5, 68, 63) 20.92311595152477 gpu 1
Q round93-s17 13 (64, 5, 52, 24) 22.066996809818253 gpu 0
Q round93-s17 14 (33, 15, 10, 13) 164.82675964936266 gpu 1
Q round93-s17 15 (69, 69, 30, 30) 42.8726306714348 gpu 0
ROUND 93 n 1584 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 19 update 0 updates_total 8
Q round94-s17 0 (39, 5, 52, 63) 22.82960807615088 gpu cache
Q round94-s17 1 (63, 5, 68, 39) 21.853249494079073 gpu 1
Q round94-s17 2 (64, 45, 28, 39) 20.7602596109892 gpu 0
Q round94-s17 3 (39, 21, 4, 63) 23.233645945352297 gpu 1
Q round94-s17 4 (39, 45, 4, 63) 21.572251763550536 gpu 0
Q round94-s17 5 (48, 21, 44, 63) 20.75505456018547 gpu 1
Q round94-s17 6 (63, 21, 4, 63) 22.18743320307007 gpu 0
Q round94-s17 7 (63, 45, 20, 62) 22.27623498150588 gpu 1
Q round94-s17 8 (63, 45, 4, 63) 18.994558433000076 gpu 0
Q round94-s17 9 (63, 45, 44, 62) 21.271404246467597 gpu 1
Q round94-s17 10 (63, 5, 12, 63) 20.835066749646476 gpu 0
Q round94-s17 11 (48, 45, 44, 63) 24.217329328457062 gpu 1
Q round94-s17 12 (48, 21, 20, 64) 21.416460888954923 gpu 0
Q round94-s17 13 (63, 5, 4, 39) 22.22734750422714 gpu 1
Q round94-s17 14 (32, 34, 2, 7) 82.71785952931353 gpu 0
Q round94-s17 15 (35, 0, 40, 21) 41.84767877470873 gpu 1
ROUND 94 n 1600 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 7 update 0 updates_total 8
Q round95-s17 0 (48, 5, 20, 63) 19.656566104054345 gpu 0
Q round95-s17 1 (48, 45, 20, 64) 21.223431088070356 gpu 1
Q round95-s17 2 (64, 45, 28, 38) 20.245838863918355 gpu 0
Q round95-s17 3 (8, 21, 28, 64) 21.400176005469525 gpu 1
Q round95-s17 4 (39, 21, 28, 63) 20.26201037622224 gpu 0
Q round95-s17 5 (39, 5, 68, 63) 21.72379364657539 gpu cache
Q round95-s17 6 (63, 21, 52, 39) 23.72082613499907 gpu 1
Q round95-s17 7 (48, 45, 44, 64) 22.224229694595802 gpu 0
Q round95-s17 8 (39, 5, 12, 64) 23.370576354337565 gpu cache
Q round95-s17 9 (39, 45, 28, 63) 22.572072293350388 gpu cache
Q round95-s17 10 (63, 45, 68, 62) 24.386097395076845 gpu 1
Q round95-s17 11 (48, 5, 44, 63) 20.988736449576923 gpu 0
Q round95-s17 12 (63, 5, 4, 63) 21.17085332901393 gpu 1
Q round95-s17 13 (48, 21, 20, 38) 21.169198133188893 gpu 0
Q round95-s17 14 (0, 46, 56, 14) 108.81263581360119 gpu 1
Q round95-s17 15 (0, 45, 58, 51) 421.42753746248303 gpu 0
ROUND 95 n 1616 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 0 update 0 updates_total 8
Q round96-s17 0 (64, 21, 12, 64) 24.227205247511474 gpu 1
Q round96-s17 1 (39, 5, 4, 63) 22.52882187620421 gpu 0
Q round96-s17 2 (48, 45, 20, 38) 20.33647725774127 gpu 1
Q round96-s17 3 (39, 5, 52, 64) 19.34726751499717 gpu cache
Q round96-s17 4 (8, 21, 52, 64) 21.013305901566262 gpu 0
Q round96-s17 5 (63, 45, 52, 39) 25.395716492608763 gpu 1
Q round96-s17 6 (8, 21, 12, 64) 21.288877902443453 gpu 0
Q round96-s17 7 (48, 21, 44, 38) 21.603576275063535 gpu 1
Q round96-s17 8 (64, 45, 12, 64) 21.274248791494816 gpu 0
Q round96-s17 9 (39, 5, 28, 64) 21.239613627776134 gpu cache
Q round96-s17 10 (48, 45, 44, 38) 22.267846096263515 gpu 1
Q round96-s17 11 (8, 45, 12, 64) 21.04421160649679 gpu 0
Q round96-s17 12 (39, 21, 12, 64) 22.903657709649895 gpu 1
Q round96-s17 13 (8, 45, 52, 64) 23.633451461441624 gpu 0
Q round96-s17 14 (29, 17, 59, 8) 59.10832515269066 gpu 1
Q round96-s17 15 (71, 0, 12, 46) 119.63111630119845 gpu 0
ROUND 96 n 1632 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 0 update 0 updates_total 8
Q round97-s17 0 (39, 21, 52, 63) 22.31361839321602 gpu 1
Q round97-s17 1 (63, 5, 12, 64) 21.474475590446072 gpu cache
Q round97-s17 2 (63, 45, 12, 63) 23.376649730746646 gpu cache
Q round97-s17 3 (63, 45, 68, 39) 23.98827442350051 gpu 0
Q round97-s17 4 (39, 45, 52, 63) 25.501048072182783 gpu 1
Q round97-s17 5 (64, 21, 12, 63) 22.652563027096694 gpu 0
Q round97-s17 6 (39, 21, 28, 64) 22.245670045507435 gpu cache
Q round97-s17 7 (39, 45, 28, 64) 21.360236043407095 gpu cache
Q round97-s17 8 (39, 21, 68, 63) 20.483304273983894 gpu 1
Q round97-s17 9 (39, 21, 52, 64) 20.216026495487394 gpu 0
Q round97-s17 10 (63, 21, 12, 64) 21.775952770055355 gpu 1
Q round97-s17 11 (64, 21, 20, 48) 25.063097532931835 gpu 0
Q round97-s17 12 (64, 21, 20, 24) 28.591290629076752 gpu 1
Q round97-s17 13 (64, 45, 12, 63) 19.67632610282555 gpu 0
Q round97-s17 14 (13, 69, 52, 21) 105.91238205323987 gpu 1
Q round97-s17 15 (63, 15, 64, 18) 216.01630570262515 gpu 0
ROUND 97 n 1648 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 26 update 0 updates_total 8
Q round98-s17 0 (64, 21, 28, 24) 23.05937567631978 gpu 1
Q round98-s17 1 (48, 21, 28, 64) 22.17344313972889 gpu 0
Q round98-s17 2 (64, 45, 28, 24) 21.806059477279735 gpu 1
Q round98-s17 3 (48, 45, 28, 64) 25.391835803518894 gpu 0
Q round98-s17 4 (64, 5, 12, 48) 23.754922159166185 gpu 1
Q round98-s17 5 (64, 5, 68, 24) 22.728584729275987 gpu 0
Q round98-s17 6 (64, 5, 28, 48) 21.064453434963692 gpu cache
Q round98-s17 7 (39, 5, 28, 48) 22.182117884125375 gpu 1
Q round98-s17 8 (64, 21, 12, 48) 23.968796138852525 gpu 0
Q round98-s17 9 (48, 5, 68, 64) 22.372976522543073 gpu 1
Q round98-s17 10 (64, 45, 12, 48) 22.274226992100054 gpu 0
Q round98-s17 11 (39, 5, 52, 48) 23.693266211342465 gpu 1
Q round98-s17 12 (24, 5, 20, 14) 24.562624917032945 gpu 0
Q round98-s17 13 (64, 21, 52, 24) 22.680269273224397 gpu 1
Q round98-s17 14 (28, 67, 61, 12) 109.68275060869655 gpu 0
Q round98-s17 15 (11, 34, 29, 57) 123.16401646633065 gpu 1
ROUND 98 n 1664 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 24 update 0 updates_total 8
Q round99-s17 0 (63, 21, 68, 39) 20.551905148246963 gpu 0
Q round99-s17 1 (63, 21, 20, 64) 24.228554311285535 gpu 1
Q round99-s17 2 (39, 21, 20, 64) 24.55245629271372 gpu 0
Q round99-s17 3 (63, 21, 12, 63) 20.446214225189237 gpu 1
Q round99-s17 4 (24, 21, 28, 24) 21.30944176913964 gpu 0
Q round99-s17 5 (39, 45, 20, 64) 22.85669096785877 gpu 1
Q round99-s17 6 (63, 45, 20, 64) 21.779957113642443 gpu cache
Q round99-s17 7 (24, 21, 12, 48) 22.130648718943682 gpu 0
Q round99-s17 8 (39, 45, 12, 64) 20.168982059407043 gpu 1
Q round99-s17 9 (39, 21, 44, 64) 24.221196725769854 gpu 0
Q round99-s17 10 (63, 21, 44, 64) 22.65774335264563 gpu 1
Q round99-s17 11 (39, 45, 44, 64) 21.737853458016765 gpu 0
Q round99-s17 12 (63, 45, 44, 64) 20.165084723886217 gpu 1
Q round99-s17 13 (24, 45, 28, 24) 23.644348510768523 gpu 0
Q round99-s17 14 (63, 47, 19, 53) 106.49523844357694 gpu 1
Q round99-s17 15 (18, 17, 4, 28) 155.14512550386522 gpu 0
ROUND 99 n 1680 bestJ 17.544033723717053 best (24, 21, 52, 49) eligible 0 update 0 updates_total 8
Q round100-s17 0 (24, 45, 12, 48) 24.078426995892663 gpu 1
Q round100-s17 1 (48, 21, 20, 62) 21.58514821684957 gpu 0
Q round100-s17 2 (48, 45, 20, 62) 22.7698225041517 gpu 1
Q round100-s17 3 (48, 21, 44, 62) 19.47489547233491 gpu 0
Q round100-s17 4 (48, 45, 44, 62) 23.666112229158347 gpu 1
Q round100-s17 5 (8, 5, 28, 24) 21.684657129838868 gpu 0
Q round100-s17 6 (63, 5, 20, 64) 23.258237527572106 gpu cache
Q round100-s17 7 (64, 45, 20, 24) 24.617882289735604 gpu 1
Q round100-s17 8 (64, 45, 20, 48) 23.230141473392234 gpu 0
Q round100-s17 9 (8, 21, 68, 64) 21.40355218774668 gpu 1
Q round100-s17 10 (24, 21, 12, 24) 22.997306928962303 gpu 0
Q round100-s17 11 (39, 45, 52, 64) 23.366420145735773 gpu 1
Q round100-s17 12 (63, 45, 12, 64) 20.865086632928637 gpu 0
Q round100-s17 13 (39, 5, 20, 64) 24.986493879451615 gpu 1
Q round100-s17 14 (30, 15, 10, 44) 157.77711216449413 gpu 0
Q round100-s17 15 (68, 46, 50, 1) 47.545348462816335 gpu 1
